ses	task	instructions
subsyl	"famil, pretest, trainA, trainB, test1, test2"	"When a syllable appears on this screen,; wait for the beep,; then repeat it it as quickly; and accurately as possible."
multisyl	"famil, assess, pretest, trainA, trainB, test1, test2"	"When a sequence of sounds appears on this screen,; wait for the beep,; then repeat it it as quickly; and accurately as possible."
"subsyl, multisyl"	fds	"You will hear a sequence of numbers ; After the beep, ; repeat that sequence"
"subsyl, multisyl"	base-controlled	"Please relax, stay still,; and remain silent "
"subsyl, multisyl"	reading	"When text appears,; read it aloud; Stop reading when the text disappears"
"subsyl, multisyl"	hand-oc	(hand-open-close task in progress)
"subsyl, multisyl"	reading-hand-oc	"When the next text appears,; read the text;  while opening and closing both hands "
"subsyl, multisyl"	tell	TELL task in progress
"subsyl, multisyl"	misc	(task in progress)
